2012/4/14,1145,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",59,M,207,OTHER KNIFE,200 E  6TH                          ST,"(34.0446, -118.249)"
2012/4/14,1530,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",60,M,308,STICK,6TH,"(34.0412, -118.2436)"
2012/4/14,650,BATTERY - SIMPLE ASSAULT,33,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",6TH,"(34.0467, -118.252)"
2012/4/14,1700,CRIMINAL THREATS - NO WEAPON DISPLAYED,53,M,511,VERBAL THREAT,900 N  VIGNES                       ST,"(34.0566, -118.2319)"
2012/4/14,1020,CHILD ANNOYING (17YRS & UNDER),14,F,,,400 N  GRAND                        AV,"(34.0594, -118.2452)"
2012/4/14,1315,THEFT PLAIN - PETTY ($950 & UNDER),43,F,,,200 S  LOS ANGELES                  ST,"(34.0503, -118.2433)"
2012/4/14,1015,BURGLARY FROM VEHICLE,43,M,,,100 E  9TH                          ST,"(34.0416, -118.255)"
2012/1/14,2300,THEFT PLAIN - PETTY ($950 & UNDER),34,M,,,500 S  SAN PEDRO                    ST,"(34.0442, -118.2439)"
2012/3/14,730,BURGLARY,39,F,,,500 N  FIGUEROA                     ST,"(34.0617, -118.2469)"
2012/2/14,1400,BATTERY - SIMPLE ASSAULT,46,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",SAN PEDRO,"(34.0423, -118.2452)"
2012/4/14,800,THEFT OF IDENTITY,45,F,,,100 S  HILL                         ST,"(34.0544, -118.2466)"
2012/3/14,1500,PURSE SNATCHING,51,F,,,600    SAN JULIAN                   ST,"(34.0428, -118.2461)"
2012/5/14,155,THEFT PLAIN - PETTY ($950 & UNDER),59,M,,,5TH                          ST,"(34.0488, -118.2518)"
2012/5/14,630,ROBBERY,43,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1300 E  7TH                          ST,"(34.0368, -118.2412)"
2012/5/14,930,LEWD CONDUCT,36,F,,,300    WINSTON                      ST,"(34.0455, -118.2452)"
